MIN;AVG;MAX
3;57;76
16;74;82
33;75;82
62;76;81
66;77;82
56;77;83
65;77;94
66;77;81
57;77;82
68;77;81
64;77;82
69;78;81
65;78;82
57;76;81
67;77;81
66;78;82
68;77;91
69;78;82
69;78;85
66;78;82
69;78;82
70;78;82
67;78;82
57;76;81
70;78;81
65;77;82
66;78;82
65;78;82
69;78;82
65;78;82
67;77;82
69;78;81
70;78;82
70;77;83
67;77;81
68;77;93
67;77;81
68;78;82
69;78;82
68;78;82
66;77;82
65;78;82
64;78;97
68;78;82
67;77;82
67;77;82
69;78;82
67;78;82
67;78;82
68;78;82
58;78;83
66;78;82
60;77;82
67;77;81
67;77;81
69;77;81
66;77;82
68;77;81
66;77;87
32;76;81
